Time,01_A1:AMBLER ANN HTG WIND 99.6% CONDNS WS=>MCDB:Des Heat Load [W],01_A1:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],01_A1:AMBLER ANN HTG WIND 99.6% CONDNS WS=>MCDB:Des Heat Mass Flow [kg/s],01_A1:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],01_A2::Des Heat Load [W],01_A2:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],01_A2::Des Heat Mass Flow [kg/s],01_A2:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],01_B2:AMBLER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],01_B2:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],01_B2:AMBLER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],01_B2:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],01_C1:AMBLER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],01_C1:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],01_C1:AMBLER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],01_C1:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],02_A1::Des Heat Load [W],02_A1:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],02_A1::Des Heat Mass Flow [kg/s],02_A1:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],02_A2::Des Heat Load [W],02_A2:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],02_A2::Des Heat Mass Flow [kg/s],02_A2:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],02_B2::Des Heat Load [W],02_B2:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],02_B2::Des Heat Mass Flow [kg/s],02_B2:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],02_C1::Des Heat Load [W],02_C1:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],02_C1::Des Heat Mass Flow [kg/s],02_C1:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],03_A1::Des Heat Load [W],03_A1:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],03_A1::Des Heat Mass Flow [kg/s],03_A1:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],03_A2::Des Heat Load [W],03_A2:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],03_A2::Des Heat Mass Flow [kg/s],03_A2:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],03_B2:AMBLER ANN HTG 99.6% CONDNS DB:Des Heat Load [W],03_B2:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],03_B2:AMBLER ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],03_B2:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],03_C1::Des Heat Load [W],03_C1:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],03_C1::Des Heat Mass Flow [kg/s],03_C1:AMBLER ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,1.250675E+03,0.000000E+00,8.816159E-02,0.000000E+00,1.434291E+03,0.000000E+00,1.011207E-01,0.000000E+00,1.090030E+03,0.000000E+00,7.684276E-02,0.000000E+00,8.480272E+02,0.000000E+00,5.978230E-02,0.000000E+00,2.922368E+03,0.000000E+00,2.060334E-01,0.000000E+00,3.109664E+03,0.000000E+00,2.192354E-01,0.000000E+00,3.804256E+03,0.000000E+00,2.681968E-01,0.000000E+00,3.550895E+03,0.000000E+00,2.503361E-01,0.000000E+00,2.966464E+03,0.000000E+00,2.091421E-01,0.000000E+00,3.257086E+03,0.000000E+00,2.296274E-01,0.000000E+00,3.790004E+03,0.000000E+00,2.671916E-01,0.000000E+00,3.601309E+03,0.000000E+00,2.538900E-01
00:20:00,0.000000E+00,1.169740E+03,0.000000E+00,8.245638E-02,0.000000E+00,1.349746E+03,0.000000E+00,9.515958E-02,0.000000E+00,9.685013E+02,0.000000E+00,6.827509E-02,0.000000E+00,7.439274E+02,0.000000E+00,5.244340E-02,0.000000E+00,2.838633E+03,0.000000E+00,2.001288E-01,0.000000E+00,3.004135E+03,0.000000E+00,2.117945E-01,0.000000E+00,3.668739E+03,0.000000E+00,2.586418E-01,0.000000E+00,3.439283E+03,0.000000E+00,2.424666E-01,0.000000E+00,2.875956E+03,0.000000E+00,2.027599E-01,0.000000E+00,3.149190E+03,0.000000E+00,2.220196E-01,0.000000E+00,3.644243E+03,0.000000E+00,2.569145E-01,0.000000E+00,3.479602E+03,0.000000E+00,2.453087E-01
00:30:00,0.000000E+00,1.088862E+03,0.000000E+00,7.675510E-02,0.000000E+00,1.267151E+03,0.000000E+00,8.933602E-02,0.000000E+00,8.532247E+02,0.000000E+00,6.014822E-02,0.000000E+00,6.417054E+02,0.000000E+00,4.523694E-02,0.000000E+00,2.754535E+03,0.000000E+00,1.941986E-01,0.000000E+00,2.900828E+03,0.000000E+00,2.045103E-01,0.000000E+00,3.538261E+03,0.000000E+00,2.494423E-01,0.000000E+00,3.328802E+03,0.000000E+00,2.346767E-01,0.000000E+00,2.785302E+03,0.000000E+00,1.963676E-01,0.000000E+00,3.043429E+03,0.000000E+00,2.145623E-01,0.000000E+00,3.504775E+03,0.000000E+00,2.470812E-01,0.000000E+00,3.359716E+03,0.000000E+00,2.368559E-01
00:40:00,0.000000E+00,1.008062E+03,0.000000E+00,7.105935E-02,0.000000E+00,1.186036E+03,0.000000E+00,8.361677E-02,0.000000E+00,7.430283E+02,0.000000E+00,5.237952E-02,0.000000E+00,5.411681E+02,0.000000E+00,3.814926E-02,0.000000E+00,2.670108E+03,0.000000E+00,1.882453E-01,0.000000E+00,2.799080E+03,0.000000E+00,1.973362E-01,0.000000E+00,3.411931E+03,0.000000E+00,2.405352E-01,0.000000E+00,3.219335E+03,0.000000E+00,2.269585E-01,0.000000E+00,2.694537E+03,0.000000E+00,1.899674E-01,0.000000E+00,2.939300E+03,0.000000E+00,2.072201E-01,0.000000E+00,3.370537E+03,0.000000E+00,2.376167E-01,0.000000E+00,3.241484E+03,0.000000E+00,2.285197E-01
00:50:00,0.000000E+00,9.282778E+02,0.000000E+00,6.543526E-02,0.000000E+00,1.107408E+03,0.000000E+00,7.807289E-02,0.000000E+00,6.443302E+02,0.000000E+00,4.542143E-02,0.000000E+00,4.460368E+02,0.000000E+00,3.144268E-02,0.000000E+00,2.586126E+03,0.000000E+00,1.823234E-01,0.000000E+00,2.700154E+03,0.000000E+00,1.903609E-01,0.000000E+00,3.295036E+03,0.000000E+00,2.322934E-01,0.000000E+00,3.114152E+03,0.000000E+00,2.195423E-01,0.000000E+00,2.604981E+03,0.000000E+00,1.836525E-01,0.000000E+00,2.838874E+03,0.000000E+00,2.001391E-01,0.000000E+00,3.249368E+03,0.000000E+00,2.290735E-01,0.000000E+00,3.129980E+03,0.000000E+00,2.206578E-01
01:00:00,0.000000E+00,8.485918E+02,0.000000E+00,5.981805E-02,0.000000E+00,1.029807E+03,0.000000E+00,7.260139E-02,2.538815E+01,5.478852E+02,1.795278E-03,3.862222E-02,0.000000E+00,3.518053E+02,0.000000E+00,2.479957E-02,0.000000E+00,2.501908E+03,0.000000E+00,1.763849E-01,0.000000E+00,2.602246E+03,0.000000E+00,1.834574E-01,0.000000E+00,3.180602E+03,0.000000E+00,2.242251E-01,0.000000E+00,3.009696E+03,0.000000E+00,2.121773E-01,0.000000E+00,2.515295E+03,0.000000E+00,1.773285E-01,0.000000E+00,2.739054E+03,0.000000E+00,1.931008E-01,0.000000E+00,3.130600E+03,0.000000E+00,2.206998E-01,0.000000E+00,3.019278E+03,0.000000E+00,2.128525E-01
01:10:00,0.000000E+00,8.109710E+02,0.000000E+00,5.716609E-02,0.000000E+00,9.929637E+02,0.000000E+00,7.000340E-02,6.896252E+01,5.000157E+02,4.869817E-03,3.524743E-02,1.349256E+01,3.064240E+02,9.584270E-04,2.160027E-02,0.000000E+00,2.456853E+03,0.000000E+00,1.732074E-01,0.000000E+00,2.546000E+03,0.000000E+00,1.794912E-01,0.000000E+00,3.111520E+03,0.000000E+00,2.193540E-01,0.000000E+00,2.950601E+03,0.000000E+00,2.080104E-01,0.000000E+00,2.467967E+03,0.000000E+00,1.739908E-01,0.000000E+00,2.684485E+03,0.000000E+00,1.892527E-01,0.000000E+00,3.061154E+03,0.000000E+00,2.158031E-01,0.000000E+00,2.957838E+03,0.000000E+00,2.085203E-01
01:20:00,0.000000E+00,7.759967E+02,0.000000E+00,5.470067E-02,0.000000E+00,9.603501E+02,0.000000E+00,6.770408E-02,1.184163E+02,4.558370E+02,8.359352E-03,3.213308E-02,6.010520E+01,2.641834E+02,4.247212E-03,1.862261E-02,0.000000E+00,2.414099E+03,0.000000E+00,1.701927E-01,0.000000E+00,2.494691E+03,0.000000E+00,1.758734E-01,0.000000E+00,3.046266E+03,0.000000E+00,2.147533E-01,0.000000E+00,2.894539E+03,0.000000E+00,2.040576E-01,0.000000E+00,2.422604E+03,0.000000E+00,1.707921E-01,0.000000E+00,2.632290E+03,0.000000E+00,1.855724E-01,0.000000E+00,2.995135E+03,0.000000E+00,2.111485E-01,0.000000E+00,2.899080E+03,0.000000E+00,2.043776E-01
01:30:00,0.000000E+00,7.425215E+02,0.000000E+00,5.234093E-02,0.000000E+00,9.293045E+02,0.000000E+00,6.551534E-02,1.731200E+02,4.138882E+02,1.221941E-02,2.917594E-02,9.869708E+01,2.239084E+02,6.970283E-03,1.578352E-02,0.000000E+00,2.372710E+03,0.000000E+00,1.672743E-01,0.000000E+00,2.445147E+03,0.000000E+00,1.723802E-01,0.000000E+00,2.983419E+03,0.000000E+00,2.103223E-01,0.000000E+00,2.840340E+03,0.000000E+00,2.002364E-01,0.000000E+00,2.378603E+03,0.000000E+00,1.676897E-01,0.000000E+00,2.581696E+03,0.000000E+00,1.820052E-01,0.000000E+00,2.931493E+03,0.000000E+00,2.066615E-01,0.000000E+00,2.842204E+03,0.000000E+00,2.003676E-01
01:40:00,0.000000E+00,7.101251E+02,0.000000E+00,5.005725E-02,0.000000E+00,8.993701E+02,0.000000E+00,6.340494E-02,2.312052E+02,3.735032E+02,1.631814E-02,2.632903E-02,1.462262E+02,1.849964E+02,1.032390E-02,1.304052E-02,0.000000E+00,2.332288E+03,0.000000E+00,1.644241E-01,0.000000E+00,2.396944E+03,0.000000E+00,1.689816E-01,0.000000E+00,2.922351E+03,0.000000E+00,2.060168E-01,0.000000E+00,2.787496E+03,0.000000E+00,1.965106E-01,0.000000E+00,2.335714E+03,0.000000E+00,1.646656E-01,0.000000E+00,2.532399E+03,0.000000E+00,1.785294E-01,0.000000E+00,2.869776E+03,0.000000E+00,2.023103E-01,0.000000E+00,2.786874E+03,0.000000E+00,1.964666E-01
01:50:00,0.000000E+00,6.785976E+02,0.000000E+00,4.783481E-02,0.000000E+00,8.703079E+02,0.000000E+00,6.135603E-02,2.922672E+02,3.343967E+02,2.062696E-02,2.357225E-02,1.974877E+02,1.472191E+02,1.394096E-02,1.037752E-02,0.000000E+00,2.292639E+03,0.000000E+00,1.616286E-01,0.000000E+00,2.349804E+03,0.000000E+00,1.656580E-01,0.000000E+00,2.862748E+03,0.000000E+00,2.018146E-01,0.000000E+00,2.735766E+03,0.000000E+00,1.928635E-01,0.000000E+00,2.293781E+03,0.000000E+00,1.617090E-01,0.000000E+00,2.484216E+03,0.000000E+00,1.751322E-01,0.000000E+00,2.809709E+03,0.000000E+00,1.980754E-01,0.000000E+00,2.732892E+03,0.000000E+00,1.926608E-01
02:00:00,0.000000E+00,6.478199E+02,0.000000E+00,4.566524E-02,0.000000E+00,8.419943E+02,0.000000E+00,5.935987E-02,3.305854E+02,2.964122E+02,2.332714E-02,2.089456E-02,2.522566E+02,1.104435E+02,1.780554E-02,7.785134E-03,0.000000E+00,2.253656E+03,0.000000E+00,1.588800E-01,0.000000E+00,2.303595E+03,0.000000E+00,1.624001E-01,0.000000E+00,2.804438E+03,0.000000E+00,1.977036E-01,0.000000E+00,2.685019E+03,0.000000E+00,1.892857E-01,0.000000E+00,2.252708E+03,0.000000E+00,1.588131E-01,0.000000E+00,2.437058E+03,0.000000E+00,1.718074E-01,0.000000E+00,2.751131E+03,0.000000E+00,1.939456E-01,0.000000E+00,2.680137E+03,0.000000E+00,1.889414E-01
02:10:00,1.235867E+00,6.261839E+02,1.091814E-04,4.414007E-02,0.000000E+00,8.223378E+02,0.000000E+00,5.797403E-02,3.625362E+02,2.687803E+02,2.558208E-02,1.894667E-02,3.061604E+02,8.400839E+01,2.160276E-02,5.921692E-03,0.000000E+00,2.223173E+03,0.000000E+00,1.567307E-01,0.000000E+00,2.266496E+03,0.000000E+00,1.597844E-01,0.000000E+00,2.755909E+03,0.000000E+00,1.942822E-01,0.000000E+00,2.643903E+03,0.000000E+00,1.863869E-01,0.000000E+00,2.220975E+03,0.000000E+00,1.565756E-01,0.000000E+00,2.399902E+03,0.000000E+00,1.691877E-01,0.000000E+00,2.703318E+03,0.000000E+00,1.905747E-01,0.000000E+00,2.638028E+03,0.000000E+00,1.859726E-01
02:20:00,4.302481E+00,6.056685E+02,3.800983E-04,4.269390E-02,0.000000E+00,8.040916E+02,0.000000E+00,5.668770E-02,3.912843E+02,2.425893E+02,2.761108E-02,1.710039E-02,3.302419E+02,6.147175E+01,2.330248E-02,4.333092E-03,0.000000E+00,2.193751E+03,0.000000E+00,1.546563E-01,0.000000E+00,2.231133E+03,0.000000E+00,1.572913E-01,0.000000E+00,2.709020E+03,0.000000E+00,1.909765E-01,0.000000E+00,2.604176E+03,0.000000E+00,1.835861E-01,0.000000E+00,2.190336E+03,0.000000E+00,1.544155E-01,0.000000E+00,2.363942E+03,0.000000E+00,1.666524E-01,0.000000E+00,2.657109E+03,0.000000E+00,1.873169E-01,0.000000E+00,2.597339E+03,0.000000E+00,1.831040E-01
02:30:00,8.855591E+00,5.859730E+02,7.823386E-04,4.130553E-02,0.000000E+00,7.866136E+02,0.000000E+00,5.545552E-02,4.171322E+02,2.174958E+02,2.943542E-02,1.533149E-02,3.652863E+02,4.217251E+01,2.577556E-02,2.972701E-03,0.000000E+00,2.165144E+03,0.000000E+00,1.526393E-01,0.000000E+00,2.196779E+03,0.000000E+00,1.548692E-01,0.000000E+00,2.663456E+03,0.000000E+00,1.877642E-01,0.000000E+00,2.565545E+03,0.000000E+00,1.808625E-01,0.000000E+00,2.160622E+03,0.000000E+00,1.523205E-01,0.000000E+00,2.329013E+03,0.000000E+00,1.641898E-01,0.000000E+00,2.612278E+03,0.000000E+00,1.841563E-01,0.000000E+00,2.557862E+03,0.000000E+00,1.803209E-01
02:40:00,1.471252E+01,5.669424E+02,1.299764E-03,3.996403E-02,0.000000E+00,7.697596E+02,0.000000E+00,5.426735E-02,4.416053E+02,1.932902E+02,3.116269E-02,1.362517E-02,3.939401E+02,2.565567E+01,2.779784E-02,1.808442E-03,0.000000E+00,2.137213E+03,0.000000E+00,1.506701E-01,0.000000E+00,2.163293E+03,0.000000E+00,1.525084E-01,0.000000E+00,2.619036E+03,0.000000E+00,1.846326E-01,0.000000E+00,2.527846E+03,0.000000E+00,1.782047E-01,0.000000E+00,2.131704E+03,0.000000E+00,1.502816E-01,0.000000E+00,2.294971E+03,0.000000E+00,1.617898E-01,0.000000E+00,2.568651E+03,0.000000E+00,1.810806E-01,0.000000E+00,2.519442E+03,0.000000E+00,1.776122E-01
02:50:00,2.174768E+01,5.484830E+02,1.921280E-03,3.866279E-02,0.000000E+00,7.534377E+02,0.000000E+00,5.311667E-02,4.649300E+02,1.698606E+02,3.280889E-02,1.197356E-02,4.211877E+02,1.167070E+01,2.972084E-02,8.226546E-04,0.000000E+00,2.109880E+03,0.000000E+00,1.487430E-01,0.000000E+00,2.130575E+03,0.000000E+00,1.502017E-01,0.000000E+00,2.575657E+03,0.000000E+00,1.815743E-01,0.000000E+00,2.490985E+03,0.000000E+00,1.756060E-01,0.000000E+00,2.103499E+03,0.000000E+00,1.482931E-01,0.000000E+00,2.261735E+03,0.000000E+00,1.594466E-01,0.000000E+00,2.526124E+03,0.000000E+00,1.780824E-01,0.000000E+00,2.481980E+03,0.000000E+00,1.749712E-01
03:00:00,2.986148E+01,5.305138E+02,2.638087E-03,3.739611E-02,0.000000E+00,7.375720E+02,0.000000E+00,5.199816E-02,4.872870E+02,1.471048E+02,3.438676E-02,1.036945E-02,4.470620E+02,0.000000E+00,3.154692E-02,0.000000E+00,0.000000E+00,2.083077E+03,0.000000E+00,1.468533E-01,0.000000E+00,2.098544E+03,0.000000E+00,1.479435E-01,0.000000E+00,2.533228E+03,0.000000E+00,1.785831E-01,0.000000E+00,2.454883E+03,0.000000E+00,1.730608E-01,0.000000E+00,2.075920E+03,0.000000E+00,1.463487E-01,0.000000E+00,2.229199E+03,0.000000E+00,1.571527E-01,0.000000E+00,2.484574E+03,0.000000E+00,1.751532E-01,0.000000E+00,2.445370E+03,0.000000E+00,1.723902E-01
03:10:00,2.862561E+01,5.172238E+02,2.528906E-03,3.645928E-02,0.000000E+00,7.260524E+02,0.000000E+00,5.118603E-02,5.040901E+02,1.296340E+02,3.557271E-02,9.137896E-03,4.670508E+02,0.000000E+00,3.295771E-02,0.000000E+00,0.000000E+00,2.060723E+03,0.000000E+00,1.452772E-01,0.000000E+00,2.071262E+03,0.000000E+00,1.460201E-01,0.000000E+00,2.496010E+03,0.000000E+00,1.759593E-01,0.000000E+00,2.423860E+03,0.000000E+00,1.708737E-01,0.000000E+00,2.053215E+03,0.000000E+00,1.447479E-01,0.000000E+00,2.201886E+03,0.000000E+00,1.552271E-01,0.000000E+00,2.448681E+03,0.000000E+00,1.726227E-01,0.000000E+00,2.414331E+03,0.000000E+00,1.702019E-01
03:20:00,2.555900E+01,5.046077E+02,2.257989E-03,3.556994E-02,0.000000E+00,7.153408E+02,0.000000E+00,5.043091E-02,5.199236E+02,1.130041E+02,3.669012E-02,7.965642E-03,4.858309E+02,0.000000E+00,3.428314E-02,0.000000E+00,0.000000E+00,2.039103E+03,0.000000E+00,1.437530E-01,0.000000E+00,2.045089E+03,0.000000E+00,1.441749E-01,0.000000E+00,2.459953E+03,0.000000E+00,1.734173E-01,0.000000E+00,2.393800E+03,0.000000E+00,1.687545E-01,0.000000E+00,2.031276E+03,0.000000E+00,1.432012E-01,0.000000E+00,2.175450E+03,0.000000E+00,1.533633E-01,0.000000E+00,2.413913E+03,0.000000E+00,1.701716E-01,0.000000E+00,2.384273E+03,0.000000E+00,1.680828E-01
03:30:00,2.100589E+01,4.941304E+02,1.855748E-03,3.483138E-02,0.000000E+00,7.055988E+02,0.000000E+00,4.974415E-02,5.349400E+02,1.031428E+02,3.774984E-02,7.270497E-03,5.035740E+02,0.000000E+00,3.553536E-02,0.000000E+00,0.000000E+00,2.019397E+03,0.000000E+00,1.423637E-01,0.000000E+00,2.020516E+03,0.000000E+00,1.424425E-01,0.000000E+00,2.429847E+03,0.000000E+00,1.712948E-01,0.000000E+00,2.370606E+03,0.000000E+00,1.671193E-01,0.000000E+00,2.012059E+03,0.000000E+00,1.418463E-01,0.000000E+00,2.151333E+03,0.000000E+00,1.516631E-01,0.000000E+00,2.387334E+03,0.000000E+00,1.682979E-01,0.000000E+00,2.363942E+03,0.000000E+00,1.666495E-01
03:40:00,1.514896E+01,4.853188E+02,1.338323E-03,3.421023E-02,0.000000E+00,6.965920E+02,0.000000E+00,4.910923E-02,5.493147E+02,9.766001E+01,3.876424E-02,6.884004E-03,5.204790E+02,0.000000E+00,3.672841E-02,0.000000E+00,0.000000E+00,2.001295E+03,0.000000E+00,1.410874E-01,0.000000E+00,1.997135E+03,0.000000E+00,1.407942E-01,0.000000E+00,2.404111E+03,0.000000E+00,1.694806E-01,0.000000E+00,2.352952E+03,0.000000E+00,1.658748E-01,0.000000E+00,1.994795E+03,0.000000E+00,1.406292E-01,0.000000E+00,2.128434E+03,0.000000E+00,1.500487E-01,0.000000E+00,2.365885E+03,0.000000E+00,1.667858E-01,0.000000E+00,2.350331E+03,0.000000E+00,1.656900E-01
03:50:00,8.113797E+00,4.783859E+02,7.168074E-04,3.372151E-02,0.000000E+00,6.881541E+02,0.000000E+00,4.851441E-02,5.631336E+02,9.638044E+01,3.973940E-02,6.793807E-03,5.366519E+02,0.000000E+00,3.786978E-02,0.000000E+00,0.000000E+00,1.984989E+03,0.000000E+00,1.399379E-01,0.000000E+00,1.974712E+03,0.000000E+00,1.392134E-01,0.000000E+00,2.382675E+03,0.000000E+00,1.679694E-01,0.000000E+00,2.341165E+03,0.000000E+00,1.650438E-01,0.000000E+00,1.979725E+03,0.000000E+00,1.395668E-01,0.000000E+00,2.106667E+03,0.000000E+00,1.485142E-01,0.000000E+00,2.349407E+03,0.000000E+00,1.656241E-01,0.000000E+00,2.343706E+03,0.000000E+00,1.652230E-01
04:00:00,0.000000E+00,4.743996E+02,0.000000E+00,3.344050E-02,0.000000E+00,6.802947E+02,0.000000E+00,4.796037E-02,5.764707E+02,1.008613E+02,4.068053E-02,7.109669E-03,5.521846E+02,0.000000E+00,3.896595E-02,0.000000E+00,0.000000E+00,1.971375E+03,0.000000E+00,1.389781E-01,0.000000E+00,1.953323E+03,0.000000E+00,1.377054E-01,0.000000E+00,2.366900E+03,0.000000E+00,1.668573E-01,0.000000E+00,2.337999E+03,0.000000E+00,1.648207E-01,0.000000E+00,1.968004E+03,0.000000E+00,1.387405E-01,0.000000E+00,2.086160E+03,0.000000E+00,1.470684E-01,0.000000E+00,2.339747E+03,0.000000E+00,1.649432E-01,0.000000E+00,2.347710E+03,0.000000E+00,1.655054E-01
04:10:00,0.000000E+00,4.829839E+02,0.000000E+00,3.404559E-02,0.000000E+00,6.814075E+02,0.000000E+00,4.803886E-02,5.783621E+02,1.219756E+02,4.081394E-02,8.598052E-03,5.553725E+02,2.055024E+00,3.919097E-02,1.455582E-04,0.000000E+00,1.969762E+03,0.000000E+00,1.388644E-01,0.000000E+00,1.941703E+03,0.000000E+00,1.368862E-01,0.000000E+00,2.367490E+03,0.000000E+00,1.668990E-01,0.000000E+00,2.355760E+03,0.000000E+00,1.660729E-01,0.000000E+00,1.969337E+03,0.000000E+00,1.388344E-01,0.000000E+00,2.076154E+03,0.000000E+00,1.463630E-01,1.131765E+01,2.347899E+03,7.988921E-04,1.655180E-01,0.000000E+00,2.374943E+03,0.000000E+00,1.674254E-01
